	index	Date	Longitude	Latitude	Location	Crime type	StreetNumber	Street	Locality	AdministrativeAreaLevel2	AdministrativeAreaLevel1	Country	PostCode
591	4249	2014-10	-5.946548	54.631236	On or near Cavehill Road	Anti-social behaviour	261	Cavehill Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 5EY
592	475	2015-11	-7.030191	54.464206000000004	On or near Knock Crescent	Anti-social behaviour	32	Knock Cres		Dungannon and South Tyrone	Northern Ireland	United Kingdom	BT70 2HA
593	2359	2015-04	-7.317437	55.013179	On or near Pennyburn Court	Anti-social behaviour	12	Pennyburn Ct	Londonderry	Derry	Northern Ireland	United Kingdom	BT48 0RT
594	301	2015-11	-5.931513	54.599137	On or near Castle Street	Anti-social behaviour	27	Castle St	Belfast	Belfast	Northern Ireland	United Kingdom	BT1
595	2851	2016-11	-6.340611	54.459208	On or near Sloan Street	Anti-social behaviour	64	Sloan St	Lurgan	Craigavon	Northern Ireland	United Kingdom	BT66 8NS
596	3068	2015-07	-7.325394	55.001042000000005	On or near Clarendon Street	Anti-social behaviour	41-43	Clarendon St	Londonderry	Derry	Northern Ireland	United Kingdom	BT48 7EG
597	2605	2017-02	-5.535034	54.64263100000001	On or near New Street	Anti-social behaviour	17	Parade	Donaghadee	Ards	Northern Ireland	United Kingdom	BT21 0AE
598	1721	2015-09	-7.624144	54.473020999999996	On or near Scallen Road	Anti-social behaviour	35	Scallen Rd		Fermanagh	Northern Ireland	United Kingdom	BT94 1ES
599	2615	2015-08	-7.467733	54.82889300000001	On or near Railway Street	Anti-social behaviour	33	Railway St	Strabane	Strabane	Northern Ireland	United Kingdom	BT82 8EG
600	4278	2016-06	-5.945533999999999	54.613257999999995	On or near Manor Court	Anti-social behaviour	12	Manor Ct	Belfast	Belfast	Northern Ireland	United Kingdom	BT14 6FF
601	661	2016-04	-5.955123	54.597993	On or near O'Neill Street	Anti-social behaviour	44	Clonard St	Belfast	Belfast	Northern Ireland	United Kingdom	BT13 2QW
602	1830	2016-09	-5.941826	54.252635999999995	On or near Burren Grove	Anti-social behaviour	2	Burren Grove	Castlewellan	County Down	Northern Ireland	United Kingdom	BT31 9EF
603	4724	2017-04	-5.63734	54.648157999999995	On or near Ashbury Avenue	Anti-social behaviour		Ashbury Ave	Bangor	North Down	Northern Ireland	United Kingdom	BT19 6TH
604	1514	2016-11	-5.689756	54.598231000000006	On or near Bladon Avenue	Anti-social behaviour	8	Bladon Ave	Newtownards	Ards	Northern Ireland	United Kingdom	BT23
605	2007	2015-12	-7.310219	54.497958	On or near Shilling Court	Anti-social behaviour	11	Shilling Ct	Fintona	Omagh	Northern Ireland	United Kingdom	BT78 2HH
606	5087	2015-07	-5.665078	54.647851	On or near Skipperstone Road	Anti-social behaviour	101	Skipperstone Rd	Bangor	North Down	Northern Ireland	United Kingdom	BT20 4XQ
607	2243	2015-08	-5.926048000000001	54.584254	On or near 	Anti-social behaviour	38	Damascus St	Belfast	Belfast	Northern Ireland	United Kingdom	BT7 1QQ
608	4548	2016-06	-5.657095	54.64466899999999	On or near 	Anti-social behaviour	5	Bloomfield Retail Park	Bangor	North Down	Northern Ireland	United Kingdom	BT19
609	5327	2014-10	-6.258415	54.848907999999994	On or near Pennybridge Industrial Estate	Anti-social behaviour	22A	Pennybridge Industrial Estate	Ballymena	Ballymena	Northern Ireland	United Kingdom	BT42 3HB
610	1386	2015-01	-6.661617	55.196917000000006	On or near Dhu Varren	Anti-social behaviour	26	Dhu Varren		Coleraine	Northern Ireland	United Kingdom	BT56 8EN
611	469	2017-03	-5.807505	54.59486	On or near Upper Newtownards Road	Anti-social behaviour	959	Upper Newtownards Rd		Castlereagh	Northern Ireland	United Kingdom	BT16 1RL
612	3482	2015-12	-6.031369000000001	54.543119999999995	On or near Derriaghy Road	Anti-social behaviour	60-61	Derriaghy Rd		Lisburn	Northern Ireland	United Kingdom	BT17 0LA
613	3888	2014-11	-5.924404	54.66278199999999	On or near Carlan Close	Anti-social behaviour	10	Crossreagh Dr		Newtownabbey	Northern Ireland	United Kingdom	BT37
614	2090	2016-10	-7.316835	55.035722	On or near 	Anti-social behaviour	26	Lenamore Rd	Londonderry	Derry	Northern Ireland	United Kingdom	BT48 8NA
615	1238	2015-09	-7.283716	55.00287900000001	On or near Sperrin Park	Anti-social behaviour	58	Kinsale Park	Londonderry	Derry	Northern Ireland	United Kingdom	BT47 6NW
616	4838	2017-03	-5.922639	54.59743100000001	On or near 	Anti-social behaviour		Chichester St	Belfast	Belfast	Northern Ireland	United Kingdom	BT1 3JY
617	3857	2016-05	-7.524355	54.15558299999999	On or near Teemore Road	Anti-social behaviour	2	Birch Grove	Derrylin	Fermanagh	Northern Ireland	United Kingdom	BT92 9QT
618	3560	2015-07	-5.708583999999999	54.31825500000001	On or near 	Anti-social behaviour	25	Colmcille Rd	Downpatrick	County Down	Northern Ireland	United Kingdom	BT30 6QR
619	117	2016-09	-5.96475	54.595487	On or near Beechmount Link	Anti-social behaviour	6	Beechmount Link	Belfast	Belfast	Northern Ireland	United Kingdom	BT12 7NQ
620	1654	2016-08	-5.927795	54.649443999999995	On or near Serpentine Road	Anti-social behaviour	62	Serpentine Rd		Belfast	Northern Ireland	United Kingdom	BT36 7HB
621	1514	2016-12	-5.659778	54.636805	On or near Rathgill Park	Anti-social behaviour	490	Rathgill Park	Bangor	North Down	Northern Ireland	United Kingdom	BT19
622	108	2016-04	-5.934882	54.589437	On or near Donegall Road	Anti-social behaviour	64	Donegall Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT2 7DB
623	4792	2015-10	-7.315169	54.590452	On or near Ashbourne Grove	Anti-social behaviour	2-8	Ashbourne Grove	Omagh	Omagh	Northern Ireland	United Kingdom	BT78
624	1211	2015-10	-6.321716	54.474365	On or near Lurgan Tarry	Anti-social behaviour	39	Antrim Rd	Lurgan	Craigavon	Northern Ireland	United Kingdom	BT67
625	217	2017-03	-5.815535	54.652079	On or near Cultra Avenue	Anti-social behaviour	31	Cultra Ave		North Down	Northern Ireland	United Kingdom	BT18 0AY
626	424	2015-09	-5.686568	54.64595500000001	On or near Meadowvale Crescent	Anti-social behaviour	46	Meadowvale Cres	Bangor	North Down	Northern Ireland	United Kingdom	BT19 1HX
627	4103	2015-09	-6.337535	54.175123	On or near Marcus Street	Anti-social behaviour	8	Marcus Square	Newry	Newry and Mourne	Northern Ireland	United Kingdom	BT34 1AE
628	3934	2016-03	-5.93765	54.586411	On or near Abercorn Street	Anti-social behaviour	7	Abercorn St	Belfast	Belfast	Northern Ireland	United Kingdom	BT9 6AS
629	4698	2015-07	-6.6560429999999995	55.114336	On or near Castlewood Avenue	Anti-social behaviour	46	Castlewood Ave	Coleraine	Coleraine	Northern Ireland	United Kingdom	BT52 1JR
630	2629	2015-10	-5.891445	54.22381	On or near Pinewood View	Anti-social behaviour	12	Pinewood View	Newcastle	County Down	Northern Ireland	United Kingdom	BT33 0HF
631	456	2014-12	-5.564780000000001	54.537417000000005	On or near De Courcy Park	Anti-social behaviour	1	De Courcy Park	Greyabbey	Ards	Northern Ireland	United Kingdom	BT22 2SA
632	1179	2016-08	-6.332962	54.45577900000001	On or near Russell Drive	Anti-social behaviour	62	Russell Dr	Lurgan	Craigavon	Northern Ireland	United Kingdom	BT66
633	2454	2015-06	-5.983319	54.61769399999999	On or near Glencairn Way	Anti-social behaviour	112	Glencairn Way	Belfast	Belfast	Northern Ireland	United Kingdom	BT13 3TE
634	2558	2015-08	-7.476325999999999	54.821412	On or near Lisnafin Park	Anti-social behaviour	29	Lisnafin Park		Strabane	Northern Ireland	United Kingdom	BT82 9DF
635	379	2017-03	-5.933747	54.589552000000005	On or near Donegall Pass	Anti-social behaviour	3	Botanic Ave	Belfast	Belfast	Northern Ireland	United Kingdom	BT7 1JG
636	1964	2016-09	-5.895055999999999	54.591877000000004	On or near 	Anti-social behaviour	170	Beersbridge Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT5 4RY
637	1382	2016-02	-5.899128	54.594823	On or near Lord Street	Anti-social behaviour	47	Paxton St	Belfast	Belfast	Northern Ireland	United Kingdom	BT5
638	264	2015-08	-6.444108	54.418395	On or near 	Anti-social behaviour	7	George St	Portadown	Craigavon	Northern Ireland	United Kingdom	BT62 3AS
639	3493	2015-07	-7.321935000000001	54.996720999999994	On or near Magazine Street	Anti-social behaviour		Magazine St	Londonderry	Derry	Northern Ireland	United Kingdom	BT48 6HJ
640	2015	2016-03	-5.919554	54.664873	On or near Bradan Court	Anti-social behaviour	2-4	Rosslea Way		Newtownabbey	Northern Ireland	United Kingdom	BT37 9BZ
641	2429	2014-11	-5.950425	54.582477000000004	On or near Edinburgh Mews	Anti-social behaviour	1	Edinburgh Mews	Belfast	Belfast	Northern Ireland	United Kingdom	BT9 7EQ
642	3927	2016-06	-6.680810000000001	55.124156000000006	On or near Laurel Mount Road	Anti-social behaviour	3	Buskin Way	Coleraine	Coleraine	Northern Ireland	United Kingdom	BT51
643	4036	2016-12	-6.148994	54.413171	On or near Meeting Street	Anti-social behaviour	23	Meeting St	Dromore	Banbridge	Northern Ireland	United Kingdom	BT25 1AQ
644	4738	2015-10	-5.92735	54.58573199999999	On or near Magdala Street	Anti-social behaviour	8	Sandhurst Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT7 1HT
645	2354	2016-02	-5.890707	54.210014	On or near Castle Place	Anti-social behaviour		A2	Newcastle	County Down	Northern Ireland	United Kingdom	BT33 0AB
646	2043	2017-03	-5.901266000000001	54.599892000000004	On or near Finmore Court	Anti-social behaviour	8	Saunders Cl	Belfast	Belfast	Northern Ireland	United Kingdom	BT4
647	106	2017-04	-6.743010000000001	54.648864	On or near Coagh Crescent	Anti-social behaviour	22	Old Coagh Rd	Cookstown	Cookstown	Northern Ireland	United Kingdom	BT80 8NG
648	1827	2015-09	-5.931179	54.593506999999995	On or near Bedford Street	Anti-social behaviour	31	Dublin Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT2
649	1929	2015-09	-6.0581830000000005	54.498827	On or near Avonmore Park	Anti-social behaviour	83	Avonmore Park	Lisburn	Lisburn	Northern Ireland	United Kingdom	BT28 1ND
650	1034	2017-01	-5.863767	54.694703000000004	On or near Longfield Gardens	Anti-social behaviour	5-43	Longfield Gardens	Greenisland	Carrickfergus	Northern Ireland	United Kingdom	BT38
651	1150	2014-12	-7.537636	54.794237	On or near Donowen Park	Anti-social behaviour	2-16	Dunowen Park		Strabane	Northern Ireland	United Kingdom	BT82 9RH
652	1306	2015-04	-6.660878	55.137494	On or near Artillery Road	Anti-social behaviour	121-123	Bushmills Rd	Coleraine	Coleraine	Northern Ireland	United Kingdom	BT52 2BS
653	1205	2015-11	-6.520743	54.296640000000004	On or near Newry Street	Anti-social behaviour	3-7	B3	Markethill	Armagh	Northern Ireland	United Kingdom	BT60
654	495	2016-07	-5.948104	54.61818	On or near Cliftonville Road	Anti-social behaviour	125-129	Cliftonville Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT14 6LP
655	4522	2015-05	-7.322855000000001	54.997777	On or near William Street	Anti-social behaviour		William St	Londonderry	Derry	Northern Ireland	United Kingdom	BT48 6EP
656	4801	2017-04	-5.6731169999999995	54.648697999999996	On or near Abbot'S Close	Anti-social behaviour	2	Abbot's Cl	Bangor	North Down	Northern Ireland	United Kingdom	BT20
657	3117	2016-08	-6.596197	54.753718000000006	On or near Sandy Braes	Anti-social behaviour	28	Sandy Braes	Magherafelt	Magherafelt	Northern Ireland	United Kingdom	BT45 6PN
658	5057	2016-10	-6.299062	54.432512	On or near Banbridge Road	Anti-social behaviour	7	A26		Craigavon	Northern Ireland	United Kingdom	BT66 7RG
659	3849	2016-06	-5.822696	54.849357999999995	On or near Meadow Park	Anti-social behaviour	2	Meadow Park	Larne	Larne	Northern Ireland	United Kingdom	BT40 3DG
660	642	2016-03	-6.337665	54.182582	On or near Mourne View Park	Anti-social behaviour	63	Mourne View Park	Newry	Newry and Mourne	Northern Ireland	United Kingdom	BT35
661	4328	2017-04	-5.655695	54.660644999999995	On or near Hazeldene Drive	Anti-social behaviour	10	Hazeldene Gardens	Bangor	North Down	Northern Ireland	United Kingdom	BT20
662	4753	2015-08	-6.331399	54.46084200000001	On or near Moores Lane	Anti-social behaviour	27-29	Union St	Lurgan	Craigavon	Northern Ireland	United Kingdom	BT66
663	1024	2016-02	-7.326791	55.036101	On or near Ferndale Road	Anti-social behaviour	1	Ferndale Park	Londonderry	Derry	Northern Ireland	United Kingdom	BT48 8RB
664	998	2017-04	-5.92635	54.607549	On or near Molyneaux Street	Anti-social behaviour	1	Molyneaux St	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 1GD
665	3295	2015-12	-5.547361	54.382029	On or near Church Street	Anti-social behaviour	12	The Square	Portaferry	Ards	Northern Ireland	United Kingdom	BT22 1NZ
666	237	2014-11	-6.015267	54.571096999999995	On or near 	Anti-social behaviour	46	Derryveagh Dr	Belfast	Belfast	Northern Ireland	United Kingdom	BT11
667	3281	2015-06	-7.833621000000001	54.515452	On or near Boa Island Road	Anti-social behaviour	555	Boa Island Road	Ardshankill	Fermanagh	Northern Ireland	United Kingdom	BT93 8AE
668	5338	2016-08	-6.185528	54.71085600000001	On or near Donore Crescent	Anti-social behaviour	198	Donore Cres	Antrim	Antrim	Northern Ireland	United Kingdom	BT41 1JB
669	4186	2016-03	-5.963955	54.673993	On or near Moyola Park	Anti-social behaviour	408	Antrim Rd	Glengormley	Newtownabbey	Northern Ireland	United Kingdom	BT36 5EJ
670	1730	2016-02	-6.052099	54.511829000000006	On or near Ridgeway Street	Anti-social behaviour	2-42	Ridgeway St	Lisburn	Lisburn	Northern Ireland	United Kingdom	BT28 1BZ
671	3995	2017-01	-6.161618	54.236602000000005	On or near John Street	Anti-social behaviour	8-40	John St	Rathfriland	Banbridge	Northern Ireland	United Kingdom	BT34
672	4466	2015-09	-7.3220529999999995	54.999964	On or near Strand Road	Anti-social behaviour	44	Strand Rd	Londonderry	Derry	Northern Ireland	United Kingdom	BT48
673	1410	2016-03	-7.168472	55.010015	On or near 	Anti-social behaviour	34	Ballygudden Rd		Derry	Northern Ireland	United Kingdom	BT47
674	3582	2016-02	-5.9016910000000005	54.58259399999999	On or near 	Anti-social behaviour	49	Ardenlee Dr	Belfast	Belfast	Northern Ireland	United Kingdom	BT6 8QL
675	217	2016-02	-6.27516	54.8677	On or near Ballymoney Street	Anti-social behaviour	53	Ballymoney St	Ballymena	Ballymena	Northern Ireland	United Kingdom	BT43
676	4502	2015-08	-5.9211339999999995	54.691280000000006	On or near Twinburn Road	Anti-social behaviour	34	Twinburn Rd		Newtownabbey	Northern Ireland	United Kingdom	BT37 0EJ
677	4364	2014-10	-5.786457	54.504183	On or near Comber Road	Anti-social behaviour	19	A21	Ballygowan	Ards	Northern Ireland	United Kingdom	BT23 6JD
678	2009	2015-11	-5.941648000000001	54.60283199999999	On or near Dover Street	Anti-social behaviour	3	Dover St	Belfast	Belfast	Northern Ireland	United Kingdom	BT13 2EB
679	3185	2016-03	-5.674029	54.64928199999999	On or near South Avenue	Anti-social behaviour	57	Whitehill Ave	Bangor	North Down	Northern Ireland	United Kingdom	BT20 4DY
680	3772	2016-07	-5.921474	54.579297	On or near Derlett Street	Anti-social behaviour	2	Derlett St	Belfast	Belfast	Northern Ireland	United Kingdom	BT7
681	2545	2015-10	-6.145696	54.417972	On or near Thornhill Drive	Anti-social behaviour	81	Thornhill Dr	Dromore	Banbridge	Northern Ireland	United Kingdom	BT25
682	387	2016-11	-5.961837999999999	54.588115	On or near Rodney Parade	Anti-social behaviour	30-54	Rodney Parade	Belfast	Belfast	Northern Ireland	United Kingdom	BT12 6HS
683	1294	2016-07	-6.26995	54.348746999999996	On or near Rathfriland Street	Anti-social behaviour	11	A26	Banbridge	Banbridge	Northern Ireland	United Kingdom	BT32
684	3254	2015-10	-5.790107	54.584965000000004	On or near Longstone Close	Anti-social behaviour	18	Longstone Cl	Castlereagh	Castlereagh	Northern Ireland	United Kingdom	BT16
685	3812	2015-10	-6.062621	54.516275	On or near Prince William Road	Anti-social behaviour	2	West Park	Lisburn	Lisburn	Northern Ireland	United Kingdom	BT28 2DD
686	99	2015-09	-6.256296	55.200364	On or near Leyland Road	Anti-social behaviour	43-47	Leyland Rd	Ballycastle	Moyle	Northern Ireland	United Kingdom	BT54
687	2857	2017-02	-5.934406	54.594568	On or near Great Victoria Street	Anti-social behaviour	17-41	A1	Belfast	Belfast	Northern Ireland	United Kingdom	BT2
688	3347	2017-04	-5.81612	54.712479	On or near Belfast Road	Anti-social behaviour	18	A2	Carrickfergus	Carrickfergus	Northern Ireland	United Kingdom	BT38
689	955	2015-07	-6.835486	54.593433999999995	On or near Rockdale Close	Anti-social behaviour	8	Rockdale Cl		Cookstown	Northern Ireland	United Kingdom	BT70 3PX
690	2629	2015-01	-5.971399	54.692914	On or near Ballyclare Road	Anti-social behaviour	330	Ballyclare Rd		Newtownabbey	Northern Ireland	United Kingdom	BT36 4TQ
691	1070	2015-10	-6.067028	54.507001	On or near Glenavy Gardens	Anti-social behaviour	1-29	Glenavy Gardens	Lisburn	Lisburn	Northern Ireland	United Kingdom	BT28
692	623	2015-02	-5.701251999999999	54.594424	On or near Regent Street	Anti-social behaviour		Regent St	Newtownards	Ards	Northern Ireland	United Kingdom	BT23 4AD
693	2432	2017-02	-6.2272989999999995	54.721897	On or near Coral Crescent	Anti-social behaviour	3	Coral Cres	Antrim	Antrim	Northern Ireland	United Kingdom	BT41 4LW
694	2830	2015-05	-6.611389	54.755959999999995	On or near Rainey Street	Anti-social behaviour	55-59	B40	Magherafelt	Magherafelt	Northern Ireland	United Kingdom	BT45 5DB
695	329	2016-02	-7.27659	55.044543999999995	On or near Elmvale	Anti-social behaviour	36	Elmvale		Derry	Northern Ireland	United Kingdom	BT48 8RP
696	482	2014-11	-5.816203	54.64713199999999	On or near Brown'S Park	Anti-social behaviour	16	Farmhill Rd		North Down	Northern Ireland	United Kingdom	BT18 0AD
697	2193	2014-11	-5.903969999999999	54.595752000000005	On or near Cluan Place	Anti-social behaviour	2	Cluan Pl	Belfast	Belfast	Northern Ireland	United Kingdom	BT5 4GS
698	1455	2017-02	-6.223332	54.480173	On or near Meeting Street	Anti-social behaviour	2	McCartney Pl	Moira	Lisburn	Northern Ireland	United Kingdom	BT67 0NU
699	492	2015-12	-5.930333999999999	54.599189	On or near Castle Street	Anti-social behaviour	2-8	Castle Pl	Belfast	Belfast	Northern Ireland	United Kingdom	BT1
700	3228	2017-03	-5.912762	54.56515699999999	On or near Saintfield Road	Anti-social behaviour	15	Upper Galwally	Castlereagh	Castlereagh	Northern Ireland	United Kingdom	BT8 7AW
701	4537	2016-09	-6.4743889999999995	54.873017000000004	On or near Cullybackey Road	Anti-social behaviour	1	Ballymena Rd	Portglenone	Ballymena	Northern Ireland	United Kingdom	BT44 8AE
702	4020	2015-04	-5.890707	54.210014	On or near Castle Place	Anti-social behaviour		A2	Newcastle	County Down	Northern Ireland	United Kingdom	BT33 0AB
703	1564	2015-11	-5.547167	54.638743999999996	On or near Ashfield Drive	Anti-social behaviour	2B	Elmfield Walk	Donaghadee	Ards	Northern Ireland	United Kingdom	BT21 0BP
704	4961	2015-06	-6.39445	54.195985	On or near O'Donoghue Park	Anti-social behaviour	48	O'Donoghue Park		Newry and Mourne	Northern Ireland	United Kingdom	BT35 7AD
705	307	2016-02	-5.881749	54.698792000000005	On or near Farm Lodge Park	Anti-social behaviour	93	Farm Lodge Dr	Greenisland	Carrickfergus	Northern Ireland	United Kingdom	BT38 8XN
706	5280	2016-07	-5.9324330000000005	54.57089499999999	On or near Sharman Road	Anti-social behaviour	23	Sharman Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT9
707	4771	2014-10	-6.409873	54.18459	On or near Ashmore Hill	Anti-social behaviour	72	St Oliver Plunkett Park		Newry and Mourne	Northern Ireland	United Kingdom	BT35 7EX
708	3650	2016-11	-6.397036	54.18975699999999	On or near Father Cullen Park	Anti-social behaviour	1-25	Ard Aveen Park		Newry and Mourne	Northern Ireland	United Kingdom	BT35
709	4642	2016-09	-6.267983999999999	54.345026000000004	On or near Maryville Crescent	Anti-social behaviour	9	Maryville Cres	Banbridge	Banbridge	Northern Ireland	United Kingdom	BT32 3LY
710	541	2015-06	-6.0598339999999995	54.477999	On or near Carnbane Road	Anti-social behaviour	41-97	Carnbane Rd		Lisburn	Northern Ireland	United Kingdom	BT27 5NG
711	5852	2016-08	-6.268694	54.350832	On or near Bridge Street	Anti-social behaviour	54	A26	Banbridge	Banbridge	Northern Ireland	United Kingdom	BT32 3SL
712	2216	2017-03	-6.637589999999999	55.11361899999999	On or near Knocklynn Grove	Anti-social behaviour	22	Knocklynn Grove	Coleraine	Coleraine	Northern Ireland	United Kingdom	BT52 1WR
713	2820	2015-10	-6.2721860000000005	54.849087	On or near Ballee Drive	Anti-social behaviour		Ballee Way	Ballymena	Ballymena	Northern Ireland	United Kingdom	BT42 3FZ
714	3415	2016-02	-5.874954	54.605004	On or near Denorrton Park	Anti-social behaviour	8	Denorrton Park	Belfast	Belfast	Northern Ireland	United Kingdom	BT4 1SF
715	2302	2016-06	-5.845044000000001	54.86566	On or near Culzean Glen	Anti-social behaviour	19	Culzean Glen	Larne	Larne	Northern Ireland	United Kingdom	BT40 2HF
716	1536	2015-12	-5.668234	54.65955699999999	On or near Market Street	Anti-social behaviour	1-21	Market St	Bangor	North Down	Northern Ireland	United Kingdom	BT20 4ST
717	1234	2017-04	-6.4896	55.068349	On or near Carnany Drive	Anti-social behaviour	1-41	Carnany Dr	Ballymoney	Ballymoney	Northern Ireland	United Kingdom	BT53 7HR
718	4047	2017-04	-5.96857	54.610133999999995	On or near Rutherglen Street	Anti-social behaviour	14	Rutherglen St	Belfast	Belfast	Northern Ireland	United Kingdom	BT13 3LS
719	186	2016-05	-6.941330000000001	55.040849	On or near Glenmore Gardens	Anti-social behaviour	23	Glenmore Gardens	Limavady	Limavady	Northern Ireland	United Kingdom	BT49 0RT
720	1888	2014-11	-5.921301000000001	54.671642000000006	On or near O'Neill Road	Anti-social behaviour	37	O'Neill Rd		Newtownabbey	Northern Ireland	United Kingdom	BT36 6BZ
721	30	2015-07	-6.349832	54.17784399999999	On or near Woodhill	Anti-social behaviour	14-28	Wood Hill	Newry	Newry and Mourne	Northern Ireland	United Kingdom	BT35 6EG
722	2765	2016-07	-5.639131	54.647985999999996	On or near Cloverhill Park	Anti-social behaviour	12	Cloverhill Grove	Bangor	North Down	Northern Ireland	United Kingdom	BT19 6YB
723	2473	2015-02	-7.313275999999999	54.611938	On or near Meelmore Drive	Anti-social behaviour	86	Meelmore Dr		Omagh	Northern Ireland	United Kingdom	BT79 7XL
724	4552	2016-07	-6.609476	54.754213	On or near 	Anti-social behaviour	1	A31	Magherafelt	Magherafelt	Northern Ireland	United Kingdom	BT45
725	5097	2016-06	-5.947991	54.61149399999999	On or near Oldpark Road	Anti-social behaviour	64	B502	Belfast	Belfast	Northern Ireland	United Kingdom	BT14 6ET
726	3203	2015-08	-5.849175	54.256687	On or near Church Avenue	Anti-social behaviour	32-56	Church Ave		County Down	Northern Ireland	United Kingdom	BT33
727	2026	2014-10	-5.946548	54.631236	On or near Cavehill Road	Anti-social behaviour	261	Cavehill Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 5EY
728	2405	2015-02	-5.558495	54.573556999999994	On or near Main Street	Anti-social behaviour	2	Main St	Carrowdore	Ards	Northern Ireland	United Kingdom	BT22 2HL
729	4859	2016-07	-6.661741	55.136559999999996	On or near Bushmills Road	Anti-social behaviour	71	Bushmills Rd	Coleraine	Coleraine	Northern Ireland	United Kingdom	BT52 2BS
730	4098	2014-10	-6.712555	55.088032999999996	On or near Macleary Road	Anti-social behaviour	19	Cashel Rd	Macosquin	Coleraine	Northern Ireland	United Kingdom	BT51 4PW
731	1005	2016-01	-5.950106	54.082177	On or near School Road	Anti-social behaviour	3	School Rd	Ballymartin	Newry and Mourne	Northern Ireland	United Kingdom	BT34 4PQ
732	18	2015-07	-5.944303	54.610955000000004	On or near Cliftonpark Avenue	Anti-social behaviour	16-50	Cliftonpark Ave	Belfast	Belfast	Northern Ireland	United Kingdom	BT14
733	4155	2016-07	-7.173614	54.239689	On or near High Street	Anti-social behaviour	24	Dernawilt Rd		Fermanagh	Northern Ireland	United Kingdom	BT92
734	1453	2016-08	-5.940114	54.597963	On or near Stanley Court	Anti-social behaviour	19	Stanley Ct	Belfast	Belfast	Northern Ireland	United Kingdom	BT12 4FY
735	4511	2016-04	-6.334844	54.464133	On or near Church Place	Anti-social behaviour		A76	Lurgan	Craigavon	Northern Ireland	United Kingdom	BT67 9AQ
736	5548	2015-10	-6.280513	54.344037	On or near Hillhead Walk	Anti-social behaviour	4	Leamount Park	Banbridge	Banbridge	Northern Ireland	United Kingdom	BT32 3HZ
737	2593	2015-05	-6.769659	55.147597	On or near Woodend Park	Anti-social behaviour	961-1033	Rockmount Gardens		Coleraine	Northern Ireland	United Kingdom	BT51 4UY
738	1399	2016-09	-5.912801	54.551986	On or near Lenaghan Crescent	Anti-social behaviour	1-15	Lenaghan Cres	Castlereagh	Castlereagh	Northern Ireland	United Kingdom	BT8 7JE
739	2720	2016-02	-5.899064	54.590959	On or near Kingscourt Close	Anti-social behaviour	2-32	Leitrim St	Belfast	Belfast	Northern Ireland	United Kingdom	BT6
740	2675	2017-03	-6.27516	54.8677	On or near Ballymoney Street	Anti-social behaviour	53	Ballymoney St	Ballymena	Ballymena	Northern Ireland	United Kingdom	BT43
741	1353	2015-08	-6.047749	54.504939	On or near Elmwood Drive	Anti-social behaviour		Hillsborough Rd	Lisburn	Lisburn	Northern Ireland	United Kingdom	BT28 1JP
742	621	2017-04	-5.937489	54.616823	On or near Baltic Avenue	Anti-social behaviour	12-30	Baltic Ave	Belfast	Belfast	Northern Ireland	United Kingdom	BT15
743	2959	2017-01	-5.985066000000001	54.605844999999995	On or near Heath Lodge Square	Anti-social behaviour	19-31	Heath Lodge Ave	Belfast	Belfast	Northern Ireland	United Kingdom	BT13
744	1629	2015-08	-5.920474	54.682949	On or near Hillside View	Anti-social behaviour	6	Hillside View		Newtownabbey	Northern Ireland	United Kingdom	BT36 6DE
745	1364	2015-04	-5.697475	54.655822	On or near Lyndhurst Avenue	Anti-social behaviour	75	Lyndhurst Ave	Bangor	North Down	Northern Ireland	United Kingdom	BT19
746	2770	2014-12	-7.322417999999999	55.026501	On or near Bloomfield Park	Anti-social behaviour	96	Bloomfield Park	Londonderry	Derry	Northern Ireland	United Kingdom	BT48 8HD
747	3806	2016-06	-6.012107	54.752357999999994	On or near Clareville Avenue	Anti-social behaviour	2-22	Clareville Ave	Ballyclare	Newtownabbey	Northern Ireland	United Kingdom	BT39 9DL
748	1400	2015-05	-5.846318	54.452224	On or near Drumaconnell Road	Anti-social behaviour	56	Ballynahinch Rd	Saintfield	County Down	Northern Ireland	United Kingdom	BT24 7ND
749	1581	2016-11	-6.017252	54.57289	On or near Carrigart Avenue	Anti-social behaviour	6	Carrigart Ave	Belfast	Belfast	Northern Ireland	United Kingdom	BT11
750	2343	2016-01	-6.701463	54.493166	On or near Espey Park	Anti-social behaviour	1-47	Espey Park		Dungannon and South Tyrone	Northern Ireland	United Kingdom	BT71
751	1585	2016-06	-6.512919	55.069364	On or near Union Street	Anti-social behaviour	48-50	Union St	Ballymoney	Ballymoney	Northern Ireland	United Kingdom	BT53 6GY
752	2629	2016-02	-5.47708	54.499880000000005	On or near 	Anti-social behaviour	1-9	Swallow Cres	Ballyhalbert	Ards	Northern Ireland	United Kingdom	BT22 1BE
