	index	Date	Longitude	Latitude	Location	Crime type	StreetNumber	Street	Locality	AdministrativeAreaLevel2	AdministrativeAreaLevel1	Country	PostCode
1393	2795	2016-02	-5.925737000000001	54.58429399999999	On or near Cairo Street	Anti-social behaviour	2-10	Cairo St	Belfast	Belfast	Northern Ireland	United Kingdom	BT7
1394	3307	2015-12	-6.285629	54.351163	On or near 	Anti-social behaviour			Banbridge	Banbridge	Northern Ireland	United Kingdom	BT32 3AP
1395	2360	2015-08	-5.932780999999999	54.587541	On or near Botanic Avenue	Anti-social behaviour	71-77	Botanic Ave	Belfast	Belfast	Northern Ireland	United Kingdom	BT7
1396	3301	2015-04	-6.707971000000001	55.175265	On or near Old Mill Grange	Anti-social behaviour	48	Old Mill Grange	Portstewart	Coleraine	Northern Ireland	United Kingdom	BT55
1397	3245	2016-10	-5.84124	54.626987	On or near 	Anti-social behaviour	353	Old Holywood Rd	Holywood	North Down	Northern Ireland	United Kingdom	BT18 9QR
1398	3114	2016-07	-5.922894	54.577237	On or near Haywood Avenue	Anti-social behaviour	90	Haywood Ave	Belfast	Belfast	Northern Ireland	United Kingdom	BT7 3EW
1399	1144	2017-04	-5.923707	54.630873	On or near 	Anti-social behaviour	13	Fortwilliam Grange	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 4AU
1400	4725	2017-04	-6.6813839999999995	54.99010500000001	On or near Rectory Park	Anti-social behaviour	41	Rectory Park	Garvagh	Coleraine	Northern Ireland	United Kingdom	BT51 5AJ
1401	5686	2015-08	-5.664747	54.659282999999995	On or near Park Drive	Anti-social behaviour	19	Park Dr	Bangor	North Down	Northern Ireland	United Kingdom	BT20 4JU
1402	128	2016-09	-5.859233000000001	54.841894999999994	On or near 	Anti-social behaviour	1	Willowbank Rd	Milbrook	Larne	Northern Ireland	United Kingdom	BT40 2SF
1403	3028	2016-11	-6.5938479999999995	54.754732999999995	On or near 	Anti-social behaviour		Sandy Braes	Magherafelt	Magherafelt	Northern Ireland	United Kingdom	BT45
1404	2573	2017-03	-5.918379	54.575991	On or near Primrose Street	Anti-social behaviour	6	Primrose St	Belfast	Belfast	Northern Ireland	United Kingdom	BT7 3GQ
1405	4449	2016-12	-6.339619	54.176616	On or near 	Anti-social behaviour			Newry	Newry and Mourne	Northern Ireland	United Kingdom	BT34 1BX
